feature_0,feature_1,feature_2,feature_3,feature_4,price
548.8135039273247,715.1893663724195,602.7633760716438,544.8831829968968,423.6547993389047,764406.0441439825
645.8941130666561,437.5872112626925,891.7730007820797,963.6627605010293,383.4415188257777,748862.9340831843
791.7250380826646,528.8949197529045,568.0445610939323,925.596638292661,71.03605819788694,723592.3988345662
87.1292997015407,20.21839744032572,832.619845547938,778.1567509498504,870.0121482468192,415514.46723485313
978.618342232764,799.1585642167236,461.4793622529318,780.5291762864555,118.27442586893322,887005.221275016
639.9210213275238,143.3532874090464,944.6689170495839,521.8483217500717,414.6619399905236,571206.4546572921
264.55561210462696,774.2336894342167,456.1503322165486,568.4339488686485,18.789800436355144,621408.3326730811
617.6354970758771,612.0957227224214,616.9339968747569,943.7480785146241,681.8202991034834,815362.6163671316
359.507900573786,437.03195379934147,697.6311959272649,60.22547162926983,666.7667154456677,577338.7979839944
670.6378696181594,210.3825610738409,128.9262976548533,315.42835092418386,363.7107709426226,423750.8234132364
570.1967704178796,438.6015134623203,988.3738380592262,102.04481074802807,208.8767560948347,632898.1053698264
161.30951788499627,653.1083254653985,253.2916025397821,466.3107728563063,244.42559200160275,514522.3298885437
158.96958364551972,110.37514116430513,656.3295894652734,138.1829513486138,196.5823616800535,283310.98622622853
368.7251706609641,820.9932298479351,97.10127579306128,837.9449074988039,96.09840789396307,642052.6754530349
976.4594650133957,468.65120164770155,976.7610881903371,604.845519745046,739.2635793983017,898299.3154208258
39.18779225432068,282.8069625764096,120.1965612131689,296.14019752214494,118.72771895424405,231051.20122684387
317.983179393976,414.26299451466997,64.14749634878436,692.4721193700199,566.6014542065751,475599.4821192982
265.3894909394454,523.2480534666996,93.94051075844168,575.9464955561792,929.296197576214,562042.8480181728
318.56895245132364,667.4103799636816,131.79786240439216,716.3272041185655,289.4060929472011,576180.3319483425
183.19136200711682,586.5129348100832,20.107546187493554,828.9400292173631,4.695476192547066,442945.72921891377
677.8165367962301,270.00797319216485,735.1940221225949,962.1885451174383,248.75314351995803,624422.3750726606
576.1573344178369,592.041931271839,572.2519057908734,223.08163264061832,952.749011516985,752318.2532496359
447.12537861762735,846.4086724711278,699.4792753175043,297.43695085513366,813.7978197024772,855416.1119248387
396.5057408469846,881.1031971111615,581.2728726358587,881.7353618548528,692.5315900777658,871940.2311433733
725.2542798196405,501.32438192670224,956.0836347232239,643.9901992296374,423.8550485581797,793426.3812964265
606.3932141279244,19.193198309333525,301.5748166745493,660.173537492685,290.07760721044406,367014.792219746
618.0154289988416,428.7687009457661,135.47406422245024,298.2823259560308,569.9649107012649,548096.2747708241
590.8727612481732,574.3252488495788,653.2008198571336,652.1032700016889,431.41843543397397,731528.6420613423
896.546595851063,367.56187004789655,435.8649252656268,891.9233550156721,806.1939890460858,753573.4183623648
703.8885835403663,100.22688731230112,919.4826137446736,714.2412995491114,998.8470065678665,671358.1338523475
149.44830465799376,868.1260573682142,162.49293467637483,615.5595642838442,123.81998284944152,598471.1103751267
848.0082293222345,807.3189587250107,569.1007386145933,407.18329722599964,69.16699545513805,828951.856667485
697.4287731445636,453.54268267806884,722.0555994703479,866.3823259286291,975.5215050028858,818554.7098571102
855.8033423926111,11.714084185001973,359.9780644783639,729.990562424058,171.62967726144052,437313.99240755005
521.0366062041293,54.33798833925363,199.99652489640008,18.52179446061397,793.6977033574207,349492.8364527721
