satisfaction_level,last_evaluation,average_monthly_hours,number_of_projects,time_spent_at_company,left,department_IT,department_RandD,department_hr,department_management,department_marketing,department_product_mng,department_sales,department_support,department_technical,salary_high,salary_low,salary_medium
0.5320166588601588,0.8549815703263111,101,3,8,1,True,False,False,False,False,False,False,False,False,True,False,False
0.46215420833298715,0.8761794485533485,96,2,2,1,False,False,True,False,False,False,False,False,False,False,False,True
0.23631186016037306,0.7698765269372785,86,3,7,1,False,False,False,False,False,False,False,True,False,False,True,False
0.4976641310299593,0.9915535953820106,186,6,9,0,False,False,False,False,False,True,False,False,False,False,True,False
0.7936227736842105,0.7839738310687423,147,4,6,0,False,True,False,False,False,False,False,False,False,True,False,False
0.3376115614647037,0.9161519718398226,207,6,2,0,False,False,False,False,True,False,False,False,False,True,False,False
0.10485868796530967,0.9674707877445734,116,3,2,1,False,False,False,False,False,True,False,False,False,False,False,True
0.7016544110358846,0.9579151003003366,117,5,9,0,False,False,False,False,False,False,False,False,True,True,False,False
0.9753639439892973,0.628849206270014,175,6,8,0,False,False,False,False,True,False,False,False,False,True,False,False
0.6461439072297246,0.44719723498855524,218,5,9,1,False,True,False,False,False,False,False,False,False,False,False,True
0.20792967303441712,0.5031242215235481,80,3,4,0,False,False,False,False,False,False,True,False,False,True,False,False
0.38865978311020577,0.4355339832379645,232,4,4,0,False,False,True,False,False,False,False,False,False,False,False,True
0.880877453248201,0.46323816089748404,121,5,2,0,False,False,False,True,False,False,False,False,False,False,False,True
0.30931126683114574,0.5107907475362186,259,3,1,1,False,True,False,False,False,False,False,False,False,False,False,True
0.6469263131478472,0.6046565899524411,231,5,4,0,False,False,False,False,True,False,False,False,False,True,False,False
0.46240408742859807,0.7261237879450455,260,6,8,1,False,False,False,False,True,False,False,False,False,False,False,True
0.2870593492776841,0.8270092356130516,263,3,2,1,False,False,False,False,False,False,False,False,True,True,False,False
0.8320662042082116,0.5265564016639072,142,6,8,0,False,False,False,False,False,False,True,False,False,False,False,True
0.7685481488191213,0.8035134425428836,160,2,1,0,False,False,False,True,False,False,False,False,False,True,False,False
0.6954319593633389,0.8225554447014518,87,3,1,1,False,False,False,False,False,False,False,False,True,False,False,True
0.3127029312418761,0.7351734021197136,266,5,4,1,False,True,False,False,False,False,False,False,False,False,True,False
0.18807130244480502,0.9421707218792263,252,2,7,1,False,False,False,False,True,False,False,False,False,False,True,False
0.6185433968433696,0.46659688835308644,106,6,9,1,False,True,False,False,False,False,False,False,False,False,True,False
0.59831005018549,0.5062728745614518,131,6,5,1,False,False,False,False,False,True,False,False,False,False,False,True
0.2695465084013857,0.6571988946336909,225,5,2,0,False,False,False,False,False,False,True,False,False,True,False,False
0.15062202488365525,0.47602764114054336,170,2,7,1,False,False,True,False,False,False,False,False,False,False,False,True
0.1726376087745874,0.7397776862344525,165,4,2,0,False,False,False,False,False,True,False,False,False,False,False,True
0.9934938878614604,0.6390402799656547,95,5,9,1,False,False,False,False,False,False,True,False,False,False,False,True
0.8052255052685954,0.5707574767215511,145,6,9,0,False,False,False,False,False,False,True,False,False,False,False,True
0.9297887283686553,0.5019938878105824,84,3,3,1,False,True,False,False,False,False,False,False,False,True,False,False
0.275549250012727,0.6012029430089262,161,2,8,0,False,False,False,False,False,True,False,False,False,False,False,True
0.9645116826910916,0.7647756104994052,210,4,4,0,False,True,False,False,False,False,False,False,False,False,True,False
0.22838891632584588,0.7454711265336469,298,3,3,1,False,True,False,False,False,False,False,False,False,False,True,False
0.558173645709824,0.49817440012614034,197,2,1,1,False,True,False,False,False,False,False,False,False,False,True,False
0.8467261159753576,0.4749518864443801,160,5,5,0,False,False,False,False,True,False,False,False,False,False,False,True
0.4148230190604215,0.41600605756532355,287,5,4,0,False,False,False,False,True,False,False,False,False,True,False,False
0.4823456798592105,0.40745535627635937,149,2,1,0,False,False,False,True,False,False,False,False,False,True,False,False
0.21536659926918805,0.9278862614318111,194,4,8,1,False,False,True,False,False,False,False,False,False,True,False,False
0.2106296919990755,0.42705331360323395,86,2,8,1,False,False,False,False,False,False,False,False,True,False,False,True
0.6576114023007936,0.8387326659239478,129,3,8,1,False,False,True,False,False,False,False,False,False,True,False,False
0.707979131758051,0.9231910577469742,221,3,3,1,False,False,False,False,False,False,False,True,False,False,True,False
0.799599262673974,0.4588347091374746,245,5,6,0,False,False,False,False,False,False,False,False,True,True,False,False
0.6010138474135782,0.6617808542998106,286,2,7,1,False,False,False,True,False,False,False,False,False,False,False,True
0.6811833630351753,0.977381789904566,190,5,9,1,True,False,False,False,False,False,False,False,False,False,False,True
0.11216554452974806,0.9004831963141511,126,4,5,1,False,False,False,False,False,False,False,False,True,True,False,False
0.24595365442346925,0.6938224191147131,191,3,9,1,False,False,False,False,False,False,True,False,False,False,False,True
0.9864232894152142,0.8575426676749317,240,6,6,1,True,False,False,False,False,False,False,False,False,True,False,False
0.16839415568424862,0.9000265746589983,122,6,4,0,False,False,True,False,False,False,False,False,False,True,False,False
0.7109094000342204,0.6088161779132316,170,2,1,1,True,False,False,False,False,False,False,False,False,False,True,False
0.25847436972854465,0.9352917501219765,108,2,1,0,False,False,True,False,False,False,False,False,False,False,False,True
0.7450467271908777,0.6822839918062941,207,6,5,1,False,False,False,False,False,True,False,False,False,False,True,False
0.7353913626657941,0.716684418135298,264,2,3,1,False,False,False,False,False,False,False,True,False,False,False,True
0.3107791538092812,0.9998245826930986,212,3,5,1,False,False,False,True,False,False,False,False,False,True,False,False
0.34267095929728375,0.9059817796912968,175,4,5,1,False,False,False,True,False,False,False,False,False,False,False,True
0.6892936422418794,0.617062003463788,267,4,1,0,False,False,False,False,False,False,True,False,False,True,False,False
0.4510774349021923,0.40620735788362,196,5,8,0,False,False,False,False,False,False,False,True,False,False,False,True
0.2750931727299202,0.7757044442763368,149,3,5,1,False,False,False,False,False,False,False,True,False,False,True,False
0.7585116389087336,0.8223480556768648,209,2,5,0,False,False,False,False,False,False,True,False,False,False,True,False
0.23873277190270076,0.7904816140860278,149,2,9,0,False,False,True,False,False,False,False,False,False,True,False,False
